nama,f,m
,196.0,402.0
a,501.0,913.0
aa,6.0,12.0
aabid,0.0,7.0
aabidah,9.0,0.0
aachmad,2.0,0.0
aacstiar,0.0,1.0
aad,1.0,0.0
aadam,0.0,1.0
aadhan,0.0,1.0
aadhigustiawarman,0.0,1.0
aadila,1.0,0.0
aadilah,1.0,1.0
aadillah,1.0,0.0
aaditya,0.0,1.0
aadityawarman,0.0,1.0
aafia,3.0,0.0
aafiah,2.0,0.0
aafifah,1.0,0.0
aafiya,0.0,1.0
aafiyah,14.0,0.0
aagustina,1.0,0.0
aah,4.0,1.0
aahfa,0.0,1.0
aahil,0.0,1.0
aahmad,0.0,1.0
aahnaf,0.0,1.0
aahva,1.0,0.0
aai,1.0,3.0
aaida,1.0,0.0
aaidah,1.0,0.0
aaidha,2.0,0.0
aainahaq,1.0,0.0
aaira,1.0,0.0
aaisyah,3.0,0.0
aal,1.0,4.0
aalan,0.0,1.0
aalena,1.0,0.0
aaleyah,2.0,0.0
aalia,2.0,0.0
aalif,0.0,1.0
aalifa,2.0,0.0
aalin,2.0,0.0
aalina,4.0,0.0
aalinar,1.0,0.0
aalinarohman,1.0,0.0
aalinarrahman,1.0,0.0
aalinarrohman,3.0,0.0
aalinea,1.0,0.0
aaliya,2.0,0.0
aaliyah,6.0,0.0
aalona,1.0,0.0
aaltje,1.0,0.0
aam,6.0,6.0
aamaaliya,1.0,0.0
aamar,0.0,1.0
aamila,1.0,0.0
aamira,2.0,0.0
aamirah,1.0,0.0
aan,31.0,164.0
aanda,0.0,1.0
aandara,0.0,1.0
aandri,0.0,1.0
aang,1.0,34.0
aangurah,0.0,1.0
aaniv,1.0,0.0
aanugerah,0.0,1.0
aanugrah,0.0,1.0
aaputra,0.0,1.0
aaqil,0.0,4.0
aaqilah,5.0,0.0
aaqilla,0.0,1.0
aaqillah,2.0,1.0
aara,7.0,0.0
aarifah,1.0,0.0
aariz,0.0,2.0
aarju,0.0,1.0
aaron,0.0,60.0
aaroni,1.0,0.0
aarushi,1.0,0.0
aas,6.0,2.0
aashif,0.0,1.0
aashika,1.0,0.0
aashiqi,0.0,1.0
aasia,0.0,1.0
aaska,1.0,0.0
aaspiannur,0.0,1.0
aasya,1.0,0.0
aasyiqurrohman,0.0,1.0
aat,4.0,4.0
aatapukan,1.0,0.0
aathif,0.0,1.0
aathifa,3.0,0.0
aathifah,2.0,0.0
aathifahsam,1.0,0.0
aathir,0.0,1.0
aathira,1.0,0.0
aathirah,7.0,0.0
aathiroh,1.0,0.0
aatifa,1.0,0.0
aatikah,2.0,0.0
aatirah,2.0,0.0
aatmadeva,0.0,1.0
aatreya,0.0,1.0
aau,0.0,1.0
aayesha,1.0,0.0
aayuni,1.0,0.0
aazeen,1.0,0.0
aazimah,1.0,0.0
aazkiya,2.0,0.0
aazraqi,0.0,2.0
aazul,0.0,1.0
aazzahra,1.0,0.0
aazzul,2.0,0.0
ab,14.0,53.0
aba,2.0,8.0
abaasid,0.0,1.0
ababa,0.0,1.0
ababan,1.0,0.0
ababiel,1.0,3.0
ababil,3.0,17.0
ababiluna,1.0,0.0
abachron,0.0,1.0
abad,0.0,5.0
abada,2.0,1.0
abadah,1.0,0.0
abadan,0.0,4.0
abadhan,0.0,1.0
abadhi,0.0,2.0
abadi,22.0,102.0
abadiansyah,0.0,1.0
abadias,0.0,1.0
abadiawan,0.0,1.0
abadillah,0.0,1.0
abadin,1.0,1.0
abadiyah,3.0,0.0
abah,0.0,2.0
abahrin,0.0,1.0
abai,2.0,3.0
abaini,1.0,0.0
abaizy,0.0,1.0
abak,0.0,1.0
abakar,0.0,1.0
abal,0.0,2.0
aban,1.0,4.0
abanat,1.0,0.0
abanda,0.0,5.0
abandi,0.0,2.0
abang,0.0,8.0
abank,0.0,1.0
abaq,0.0,1.0
abaqary,0.0,1.0
abar,0.0,2.0
abara,0.0,1.0
abargil,1.0,1.0
abari,0.0,1.0
abariah,1.0,0.0
abas,6.0,56.0
abasah,0.0,1.0
abasiah,1.0,0.0
abasiir,0.0,1.0
abasrullah,0.0,1.0
abassy,0.0,1.0
abastian,0.0,1.0
abat,0.0,1.0
abatino,0.0,1.0
abau,0.0,1.0
abawiyah,1.0,0.0
abay,1.0,4.0
abaya,0.0,1.0
abaydilla,1.0,0.0
abayomi,0.0,3.0
abayuddin,0.0,1.0
abba,0.0,2.0
abbabil,0.0,2.0
abbad,0.0,24.0
abbahar,0.0,1.0
abban,0.0,1.0
abbang,1.0,0.0
abbas,21.0,160.0
abbashy,0.0,1.0
abbasnur,0.0,1.0
abbasy,1.0,36.0
abbasya,0.0,1.0
abbasyi,0.0,2.0
abbda,0.0,1.0
abbey,1.0,1.0
abbi,0.0,5.0
abbian,0.0,1.0
abbiaz,0.0,1.0
abbid,0.0,1.0
abbie,0.0,3.0
abbimanyu,0.0,1.0
abbinaya,0.0,1.0
abbisono,0.0,1.0
abbiya,1.0,0.0
abbiyu,0.0,8.0
abbiyya,0.0,2.0
abbiyyu,0.0,2.0
abbizar,0.0,2.0
abbizhar,0.0,3.0
abbo,0.0,1.0
abbrar,0.0,1.0
abbrisam,0.0,2.0
abbsyanto,0.0,1.0
abbu,0.0,1.0
abbul,0.0,1.0
abby,4.0,19.0
abbyan,0.0,7.0
abbyaz,0.0,1.0
abbygail,1.0,0.0
abbyoga,0.0,1.0
abbyu,0.0,2.0
abd,10.0,857.0
abda,2.0,11.0
abdad,0.0,9.0
abdah,2.0,2.0
abdahu,0.0,2.0
abdai,0.0,2.0
abdaiah,0.0,1.0
abdal,1.0,24.0
abdalena,1.0,0.0
abdali,0.0,1.0
abdalia,2.0,0.0
abdaliah,31.0,0.0
abdalilah,1.0,0.0
abdalisa,1.0,0.0
abdalisda,1.0,0.0
abdaliyah,4.0,0.0
abdallah,0.0,5.0
abdalliah,2.0,0.0
abdalliyah,2.0,0.0
abdaluddin,0.0,1.0
abdalwi,0.0,1.0
abdan,2.0,91.0
abdani,1.0,2.0
abdaniah,1.0,0.0
abdanirando,1.0,3.0
abdansyakur,1.0,0.0
abdantiha,0.0,1.0
abdar,0.0,1.0
abdariah,1.0,0.0
