Tweet,Username,Datetime
"KAPARAIS
Kajian Pagi Rohani Kamis

(02/03) Kamis, Kantor Inigrasi Tanjung Redeb kembali mengadakan kegiatan bimbingan tohani di ruang rapat Kantor Imigrasi Tanjung Redeb.

 Kegiatan tersebut merupakan saah satu kegiatan rutin yang dilakukan setiap hari kamis pagi untuk cont- https://t.co/9AWB26ugbd",ImigrasiTgRedeb,2023-03-02 12:33:16+00:00
"Halo Sahabat Mido!

Dangkita taukah, jika paspor sahabat mido Hilang atau Rusak dapat dikenakan denda sebagai berikut:

𝐁𝐢𝐚𝐲𝐚 𝐁𝐞𝐛𝐚𝐧 𝐏𝐚𝐬𝐩𝐨𝐫 𝐇𝐢𝐥𝐚𝐧𝐠
Rp. 1.000.000

𝐁𝐢𝐚𝐲𝐚 𝐁𝐞𝐛𝐚𝐧 𝐏𝐚𝐬𝐩𝐨𝐫 𝐑𝐮𝐬𝐚𝐤
Rp. 500.000 https://t.co/JSxQiUivJy",ImigrasiTgRedeb,2023-02-07 09:01:08+00:00
@ohoxnya2 @CyberHansip86 Cada tau kah dangkita baniapa tanah kami di kuasai tambang-tambang ileegal.,abangputeh1,2023-01-31 13:35:14+00:00
"Yang akan dilaksanakan pada 09 Januari - 15 Januari 2023, berlokasi di GOR PEMUDA BERAU.

Selamat bertarung driver driver andalan, dangkita luar biasa. Tetap semangat dan selalu junjung tinggi sportifitas.",GojekBerau,2023-01-04 07:37:51+00:00
"sakit leher, kayaknya gara-gara salah tidur. 
mama: itu dangkita, orang tidur mamalluk guling, ini mangka bangsa udang bakukkung 😑

kalian tidur tuh sadar emang gerak gimana aja pas tidur??? gak kannnn",lisdapm,2022-09-06 08:28:10+00:00
Darup aja dangkita kalau menginap di mess wkwkwkwkwkwkk,yu_widi,2022-08-09 10:38:57+00:00
"Uyyy Kaparais, #SobATRBPN 
Sabtu (23/07) telah dilaksanakan kegiatan penyerahan sertipikat tanah PTSL Tahun Anggaran 2022 di Kampung Inaran, Kecamatan Sambaliung oleh Kantor Pertanahan Kabupaten Berau. 

#ATRBPNMajudanModern 
#ATRBPNKiniLebihBaik
https://t.co/PaPiFWKHDE",kabberau,2022-07-25 03:42:51+00:00
"Uyyy Kaparais, #SobATRBPN 
Kamis (14/22) Kantor Pertanahan Kabupaten Berau melaksanakan Kegiatan Pelantikan dan Sosialisasi Tim Pengumpul Data Pertanahan (PULDATAN)
#negaRAhadir
https://t.co/UBj9iGIV2V",kabberau,2022-07-15 03:34:28+00:00
"Uyyy Kaparais, #SobATRBPN 
Melalui Program Cafe Reforma Agraria (LaDaRa) Kantor Pertanahan Kabupaten Berau turut mendukung pengembangan dan pemasaran produk lokal UMKM masyarakat di Kabupaten Berau. https://t.co/4y3WBbVkQL",kabberau,2022-07-13 03:22:16+00:00
"Uyyy Kaparais, #SobATRBPN 
Kamis (7/7) Kantor Pertanahan Kabupaten Berau menerima kunjungan dari BPKP Provinsi Kalimantan Timur terkait koordinasi penelitian data-data aset Pemerintah Daerah (PEMDA) Kabupaten Berau. https://t.co/mMkoA2xd1j",kabberau,2022-07-07 02:25:46+00:00
"Uyyy Kaparais, #SobATRBPN 
Senin (27/6) telah dilaksanakan kegiatan Penkom Jabatan Pengawas dan Jabatan Fungsional Setara Gelombang I Batch 3 secara daring yang diikuti oleh Kantor Pertanahan Kabupaten Berau. 
#ATRBPNMajudanModern 
#ATRBPNKiniLebihBaik
https://t.co/wThwiJHC5p",kabberau,2022-06-28 01:56:32+00:00
"Uyyy Kaparais, #sobatrbpn 
(24/6) Kantor Pertanahan Kabupaten Berau melakukan penyerahan sertipikasi Aset Kementerian Agama berupa sertipikat sarana pendidikan ( MTSN Tanjung Redeb). 
#ATRBPNMajudanModern 
#ATRBPNKiniLebihBaik
#kantahberaulebihbaik
https://t.co/fYAI9Ijue5",kabberau,2022-06-24 06:22:37+00:00
"Uyyy Kaparais, #SobAtrBpn 
Telah terlaksana kegiatan RKPA yang diikuti oleh Kantor Pertanahan Kabupaten Berau di Samarinda, 16 Juni 2022.

#ATRBPNMajudanModern 
#ATRBPNKiniLebihBaik 
#KantahBerauLebihBa https://t.co/cogad7fYNb",kabberau,2022-06-17 00:44:30+00:00
"Uyyy Kaparais, #SobAtrBpn 
Saat ini sedang berlangsung Rapat Evaluasi dan Pembinaan Kagiatan Program Strategis Kantor Wilayah Badan Pertanahan Nasional Provinsi Kalimantan Timur TA.2022 yang berlangsung di Samarinda 14 s/d 16 Juni 2022. 
#ATRBPNMajudanModern 
#ATRBPNKiniLebihBaik https://t.co/mp8vhd4rdN",kabberau,2022-06-14 08:15:23+00:00
"Uyyy Kaparais, #SobAtrBpn 
Kita sedikit refreshing dari hiruk pikuk persertipikatan tanah ya Sob, Nah ini cara kita hiling.
#ATRBPNMajudanModern 
#ATRBPNKiniLebihBaik 
#KantahBerauLebihBaik
https://t.co/RheDeiTQZA",kabberau,2022-06-10 02:33:00+00:00
"Uyyy Kaparais, #SobAtrBpn 
Berikut merupakan Pengumuman Seleksi Administrasi Pengadaan Tenaga Administration Support di Lingkungan Kantor Pertanahan Kab.Berau. Untuk info selengkapnya silahkan klik link di bio kita ya #SobAtrBpn: https://t.co/9VF7KbbyGH https://t.co/2c1OAH0lMM",kabberau,2022-06-09 08:15:48+00:00
"Uyyy Kaparais, #SobAtrBpn 
(7/6) telah dilaksanakan kegiatan penyerahan residu PTSL Kelurahan Sei Bedungun.

Saat ini Kantor Pertanahan Kab Berau sedang menuju Zona Integritas Wilayah Bebas Korupsi, https://t.co/ztepTkJAQT",kabberau,2022-06-09 00:53:40+00:00
"Uyyy Kaparais, #SobATRBPN 
(7/6) telah dilaksanakan Penyuluhan pendaftaran Tanah Sistematis Lengkap (PTSL) K4 kantor Pertanahan Kabupaten Berau di Kelurahan Sei Bedungun,Kec.Tanjung Redeb https://t.co/db3GkGA55S",kabberau,2022-06-09 00:52:51+00:00
"Uyyy Kaparais, #SobATRBPN 
(3/6) Kegiatan Internal Rapat Monitoring Evaluasi PTSL tahun 2022 Kantor Pertanahan Kabupaten Berau. https://t.co/COCmTjp6RL",kabberau,2022-06-03 08:07:21+00:00
"Uyyy Kaparais, #SobATRBPN 
(30/5) Rapat Persiapan Pengukuran dalam Rangka Sertipikasi Aset Badan Milik Negara (BMN)  Kementerian Perhubungan tahun 2022 bersama dengan Kantor Pertanahan Kabupaten Berau. https://t.co/tt4wAYiB6C",kabberau,2022-06-03 00:42:28+00:00
"Uyyy Kaparais, #SobATRBPN 
(2/6) Kantor Pertanahan Kabupaten Berau menerima kunjungan dari KPPN Tanjung Redeb guna Memonitoring Evaluasi Pelayanan Penerimaaan PNBP Kantor Pertanahan Kabupaten Berau Tahun 2022 https://t.co/9BENv7xzTv",kabberau,2022-06-02 08:11:43+00:00
"Uyyy Kaparais, #SobATRBPN 
(31/5) Sedang berlangsung Pembinaan Pelaksanaan Tugas dan Fungsi  Kantor Wilayah Badan Pertanahan Nasional &amp; Kantor Pertanahan di Lingkungan Kanwil BPN Provinsi Kalimantan Timur. Kegiatan ini berlangsung di Hotel Jatra Balikpapan, Kalimantan Timur. https://t.co/ychYi6gmaq",kabberau,2022-05-31 02:12:15+00:00
"Uyyy Kaparais, #SobATRBPN 
Telah berlangsung kegiatan ekspose pemeriksaan dari Inspektorat Jenderal Kementerian ATRBPN terkait kinerja Kantor Pertanahan Kabupaten Berau. Pemeriksaan ini dilakukan sejak tanggal 23 s/d 26 Mei 2022. https://t.co/dWmxTFUW5x",kabberau,2022-05-25 08:21:19+00:00
"Uyyy Kaparais, #SobATRBPN 
Telah berlangsung pemeriksaan dari Inspektorat Jenderal Kementerian ATRBPN terkait kinerja Kantor Pertanahan Kabupaten Berau sejak tanggal 23 s/d 26 Mei 2022. https://t.co/3OQA1J8Pbv",kabberau,2022-05-23 07:54:12+00:00
"Uyyy Kaparais, #SobATRBPN 
Senin (23/5) Kantor Pertanahan Kabupaten Berau menerima 3 Calon Pegawai Negeri Sipil (CPNS) yang akan mengabdi di Kantor Pertanahan Kabupaten Berau.

Saat ini Kantor Pertanahan Kab Berau sedang menuju Zona Integritas Wilayah Bebas Korupsi, https://t.co/vNnpyEaW0n",kabberau,2022-05-23 02:42:14+00:00
"Uyyy Kaparais, #SobATRBPN 
Jum'at (20/5) telah dilaksanakan Upacara memperingati Hari Kebangkitan Nasional Ke-114 di lingkungan Kantor Pertanahan Kabupaten Berau yang di pimpin langsung oleh Kepala Kantor Pertanahan Kab.Berau Ir.Timbul T.H Simanjuntak. https://t.co/Gng3XysNp1",kabberau,2022-05-20 06:53:43+00:00
"Uyyy Kaparais,#SobATRBPN 
Kamis (19/5) Kantor Pertanahan Kabupaten Berau https://t.co/aDh0rakPj9",kabberau,2022-05-20 06:33:36+00:00
"Uyyy Kaparais, #SobATRBPN
Kegiatan Peninjauan Lapang Neraca Penatagunaan Tanah Sektoral Perkebunan yang dilakukan oleh Tim yang beranggotakan Kantor Wilayah Badan Pertanahan Nasional Provinsi Kalimantan Timur, Kantor Pertanahan Kab. Berau, dan  Dinas Perkebunan Kab. Berau. https://t.co/PsI47r9Uwe",kabberau,2022-05-19 08:00:35+00:00
"Uyyy Kaparais, #SobATRBPN 
Upacara Korpri di lingkungan Kantor Pertanahan Kabupaten Berau (17/05) tahun 2022.

Saat ini Kantor Pertanahan Kab Berau sedang menuju Zona Integritas Wilayah Bebas Korupsi, mohon dukungannya apabila terdapat indikasi kecurangan dapat melaporkan melalui https://t.co/JbBfbZ2rTg",kabberau,2022-05-17 01:02:19+00:00
"kekucingan pagi ini, becakut tarus dangkita lah awas aja sampe aku kemuyakan kada kubari makan lagiii!!!!!!! https://t.co/fq7xKsV6MO",mayoumiw,2022-05-15 23:20:29+00:00
"Uyyy Kaparais, #SobATRBPN
Jumat (13/5) Rapat Evaluasi Kegiatan Pengukuran Tahun 2022 yg dipimpin oleh Kepala Kantor Pertanahan Kabupaten Berau  Ir. Timbul T.H Simanjuntak dan dihadiri oleh seluruh ASN dan PPNPN di seksi Survei dan Pemetaan. https://t.co/3vj1nqqD2g",kabberau,2022-05-13 02:20:36+00:00
"Uyyy Kaparais, #SobAtrbpn
Sedang berlangsung Pembinaan Teknis Perencanaan, Penganggaran, Evaluasi, dan Pelaporan Program dan Kegiatan Serta Kerjasama Lembaga. Kegiatan ini diikuti oleh seluruh Kantor Pertanahan Kabupaten/Kota di lingkungan Kantor Wilayah Badan Pertanahan Nasional https://t.co/W4VQtsxnNt",kabberau,2022-05-12 08:08:09+00:00
"Uyyy Kaparais, #SobATRBPN
(10/5) Rapat Monitoring Evaluasi Kinerja Kantor Pertanahan Kabupaten Berau membahas PTSL 2022, pencapaian anggaran dan persiapan pembangunan Zona Integritas.

#ATRBPNMajudanModern
#ATRBPNKiniLebihBaik
#KantahBerauLebihBaik https://t.co/WQVj9evWdU",kabberau,2022-05-10 06:44:16+00:00
"Uyyy kaparais, #SobATRBPN
Kantor Pertanahan Kabupaten Berau kembali AKTIF melayani Pelayanan Permohonan Pengurusan Pertanahan dengan jam operasional normal, Senin- Jum'at pukul 08.00 s.d 16.00 WITA.
Melayani, Profesional, Terpercaya
#ATRBPNMajudanModern 
#ATRBPNKiniLebihBaik https://t.co/AWHKilSEJr",kabberau,2022-05-10 02:36:38+00:00
"Uyyy Kaparais, #SobATRBPN 
Setelah sepekan libur cuti bersama, Senin (9/5) Kantor Pertanahan Kabupaten Berau kembali AKTIF melayani masyarakat diawali dengan Upacara perdana di lingkungan Kantor Pertanahan Kabuten Berau. https://t.co/TQW6h4GseD",kabberau,2022-05-09 02:58:27+00:00
"Uyyy Kaparais, #SobATRBPN 
(28/4) Upacara pagi dilaksanakan di lingkungan Kantor Pertanahan Kab.Berau yang di pimpin langsung oleh Ir.Timbul TH Simanjuntak selaku Kepala Kantor Pertanahan Kab.Berau. Kegiatan ini merupakan tindak lanjut pengawasan pekerjaan https://t.co/sX1mPGlQx8",kabberau,2022-04-28 07:04:04+00:00
"Uyyy Kaparais, #SobATRBPN 
Sehubungan dengan Libur Nasional &amp; Cuti Bersama Idul Fitri 1443 H Pelayanan di Kantor Pertanahan Kabupaten Berau tutup sementara.

Tutup pada 29 April s/d 6 Mei 2022  dan buka kembali pada 9 Mei 2022.
Saat ini Kantor Pertanahan Kab Berau sedang https://t.co/8clBuwPfC6",kabberau,2022-04-28 06:54:28+00:00
"Uyyy Kaparais, #SobATRBPN
(27/4) Telah berlangsung Rapat Koordinasi Pendaftaran Tanah Sistematis Lengkap berdasarkan  Partisipasi Masyarakat (PTSL PM) TA. 2022 yg dihadiri oleh Kepala Kampung/yg mewakili sesuai dengan Penetapan Lokasi PTSL PM TA. 2022. https://t.co/iwf3b1IuLi",kabberau,2022-04-27 06:37:14+00:00
"Uyyy Kaparais #SobATRBPN 
Kegiatan Monitoring Residu Evaluasi dan Anomali PTSL Kantor Pertanahan Kabupaten Berau

Saat ini Kantor Pertanahan Kab Berau sedang menuju Zona Integritas Wilayah Bebas Korupsi, https://t.co/NGOLOpJtLk",kabberau,2022-04-26 01:28:08+00:00
"Uyyy Kaparais, #SobATRBPN 
(21/4) Pelaksanaan pengambilan sumpah sertipikat hilang yang dilaksanakan di Kantor Pertanahan Kabupaten Berau.

Saat ini Kantor Pertanahan Kab Berau sedang menuju Zona Integritas Wilayah Bebas Korupsi, https://t.co/0iUtKlWUHI",kabberau,2022-04-26 00:56:35+00:00
"Uyyy Kaparais, #SobATRBPN 
(25/4) Kegiatan Pemeriksaan Tanah oleh Tim Panitia A Kantor Pertanahan Kab.Berau.

Saat ini Kantor Pertanahan Kab Berau sedang menuju Zona Integritas Wilayah Bebas Korupsi, https://t.co/TRkFJz73uJ",kabberau,2022-04-25 06:49:12+00:00
"Uyyy Kaparais, #SobATRBPN 
Karena sudah hari Senin saatnya belajar jenis-jenis pelayanan pertanahan di Kantor Pertanahan Kabupaten Berau yukk! Kali ini mengenai Pelayanan Pengaturan dan
Penataan Pertanahan https://t.co/YSAmXpE75V",kabberau,2022-04-25 01:17:14+00:00
"Uyyy Kaparais #SobATRBPN (21/4) Selamat Hari Kartini 2022, ""Mari Tanamkan Semangat R.A Kartini  hingga saat ini.""

Saat ini Kantor Pertanahan Kab Berau sedang menuju Zona Integritas Wilayah Bebas Korupsi, https://t.co/Auz0Tm0i70",kabberau,2022-04-21 01:36:16+00:00
"Uyyy kaparais #SobATRBPN 
Buka Puasa Bersama Kantor Pertanahan Kabupaten Berau
1443 H.

Saat ini Kantor Pertanahan Kab Berau sedang menuju Zona Integritas Wilayah Bebas Korupsi, https://t.co/J31qr9NM42",kabberau,2022-04-21 01:23:12+00:00
"Uyyy Kaparais, #SobATRBPN
Selasa (19/4/2022) Koordinasi Sertipikasi Aset BMN Unit Penyelenggaraan Bandar Udara Kalimarau.

Saat ini Kantor Pertanahan Kab Berau sedang menuju Zona Integritas Wilayah Bebas Korupsi, https://t.co/XgBwq4rsHt",kabberau,2022-04-19 03:26:50+00:00
"Uyyy Kaparais, #SobATRBPN 
Karena sudah hari Senin saatnya belajar jenis-jenis pelayanan pertanahan di Kantor Pertanahan Kabupaten Berau yukk! Kali ini mengenai Pelayanan Pengukuran Bidang Tanah. https://t.co/4DSiEcu8RO",kabberau,2022-04-18 01:45:25+00:00
"Uyyy Kaparais, #SobATRBPN
Rapat Koordinasi PT.Dwiwira Lestari Jaya dalam rangka pembahasan kerugian tanah plasma masyarakat dengan perusahaan dimana terdapat indikasi tumpang tindih sertipikat. https://t.co/nl9vypR9Xy",kabberau,2022-04-18 00:51:46+00:00
"Uyyy Kaparais, #SobATRBPN 
(31/02) Kantor Pertanahan Kab.Berau menerima kunjungan dari Rutan Kelas II B Tanjung Redeb terkait Aset yang dimilikinya.

Saat ini Kantor Pertanahan Kab Berau sedang menuju Zona Integritas Wilayah Bebas Korupsi, https://t.co/mrCDTeDtwa",kabberau,2022-04-12 00:53:02+00:00
"Uyyy Kaparais, #SobATRBPN 
Karena sudah hari Senin saatnya belajar jenis-jenis pelayanan pertanahan di Kantor Pertanahan Kabupaten Berau yukk! Kali ini mengenai Pelayanan Pemeliharaan Data Pendaftaran Tanah, Mari simak bersama! https://t.co/c8fKnaPCg5",kabberau,2022-04-11 01:12:32+00:00
"Uyyy Kaparais, #SobATRBPN 
Karena sudah hari Senin saatnya belajar jenis-jenis pelayanan pertanahan di Kantor Pertanahan Kabupaten Berau yukk! Kali ini mengenai Pelayanan Pemeliharaan Data Pendaftaran Tanah, Mari simak bersama! https://t.co/oP3waDY42H",kabberau,2022-04-04 03:28:38+00:00
"Uyyy Kaparais, #SobATRBPN 
Kamis (3/02) Kantor Pertanahan Kabupaten Berau mengadakan kegiatan Rapat Monitoring Evaluasi Kinerja yang diikuti oleh PNS Kantor Pertanahan Kabupaten Berau.

Saat ini Kantor Pertanahan Kab.Berau sedang menuju Zona Integritas Wilayah Bebas https://t.co/pMfryfPwWB",kabberau,2022-04-04 00:57:24+00:00
@samarindabase warung dangkita juanda,Corporate_Slav3,2022-04-02 14:48:56+00:00
"Uyyy Kaparais, #SobATRBPN 
Senin (28/3) Penandatangan Maklumat Kantor Pertanahan Kabupaten Berau oleh Ir. Timbul TH Simanjuntak.
Kantor Pertanahan Berau berkomitmen memberikan pelayanan yang tepat, cepat, dan akurat sesuai isi Maklumat. https://t.co/WMiGKPxoJI",kabberau,2022-03-31 01:45:46+00:00
"Uyyy Kaparais, #SobATRBPN 
Senin (28/03) Kantor Pertanahan Kabupaten Berau mengadakan kegiatan Morning Briefing mengenai Monitoring Evaluasi Kinerja 2022 yang sedang berjalan. Kegiatan tsb dihadiri oleh para pejabat pengawas. https://t.co/Ww8tdmcNTO",kabberau,2022-03-30 01:14:33+00:00
"Akhir zaman makin bnyk kesesatan maka kunci untuk selamat adalah kembali kepada Al-Qur'4n dan Sunnah. Peganglah 2 hal itu agar dangkita selamat
#WaspadaModerasiBeragama",4lFaruq1,2021-12-18 06:21:15+00:00
"Jangan parnah dangkita bapaling ,karna sasuatu anu tumbuh bapaling attu rasa cada lagi sama.",LuckMan76671436,2021-11-14 22:57:34+00:00
Twitter ni amun bebeda pendapat dikit langsung ndak begasak. Bener bener masakindanya dangkita ini,t_urdream,2021-08-22 04:46:24+00:00
@txtsamarinda dwrung dangkita bisa..minimal 250 k,Corporate_Slav3,2021-02-25 12:20:11+00:00
"@AntoekToek @txtsamarinda juanda 8 depan warung dangkita itu ada..

searching aja",Corporate_Slav3,2021-02-07 03:59:58+00:00
Ternyata kaparais,t_urdream,2021-01-19 09:04:18+00:00
Dangkita 😊,erwndharmwn,2020-12-19 01:30:39+00:00
"@juventusfcid ..selamat #HariGuruNasional2020 lah paketu @Furqon_Berau , @nono___007 semoga semakin barakkat dangkita bah",syarifiirvan,2020-11-25 05:59:35+00:00
"@munthings Amun dangkita dampa dapai. Ya, slogan SMA.",micromoons,2020-09-02 05:53:01+00:00
"AYU SAPARADIAN KAPARAIS, BABASU TANGAN DAPAY MAMUNU VIRUS &amp; SUPAYA CADA KAINGGAPAN VIRUS https://t.co/M6k5N5Uzcs",PTabalar,2020-08-11 16:03:48+00:00
"Ayu Saparadian Kaparais, Babasu Tangan Dapay Mamunu Virus dan Supaya Cada Kainggapan Virus https://t.co/zq051AavTN",polresberau1,2020-08-11 00:34:43+00:00
"Halo Saparadian Kaparais, Jgn Batukuan 1 - 2 Meter Supaya Cada Kanna Virus Curuna https://t.co/y1tONCWci7",polresberau1,2020-08-09 06:16:18+00:00
"Halo Saparadian Kaparais, Cada Batukuan Pas Kaluar Ruma Dapay Manyalamatkan DangKita Anday Bahaya Virus Curuna https://t.co/OxIklPbDlE",polresberau1,2020-08-09 06:14:49+00:00
"Halo Saparadian Kaparais, Jgn Batukuan 1 - 2 Meter Supaya Cada Kanna Virus Curuna https://t.co/0wHf5NLKxH",polresberau1,2020-08-07 00:00:51+00:00
@hasbullahBS Salam baik untuk kullaku di Babanir Bangun kaparais.....,alpharomeosatu,2020-08-06 21:34:19+00:00
Cada Batukuan Pas Kaluar Ruma Dapay Manyalamatkan Dangkita Anday Bahaya Virus Curuna https://t.co/Lpx9PU4gjg,polresberau1,2020-08-06 00:12:25+00:00
"SASUAIKAN DANGNGAN SUASANA BARU

Agai Ulai Kaparais Lamun Kaluar Rumah Harus memakai Masker bah... https://t.co/SAWc9tnIxS",PTabalar,2020-08-01 16:29:52+00:00
"Sasuaikan dangngan suasana baru agai ulai kaparais ,lamun kaluar ruma harus mamakai masker bah

@edy_setyanto2000ss 
#akpol2000 
#sanika_satyawada_official
#polisiindonesia
@spripimpolri 
@divisihumaspolri
@multimedia.humaspolri 
@poldakaltim 
@poresberau 
@berauterkini https://t.co/gbLmMbDibA",polresberau1,2020-07-29 03:16:34+00:00
jujur aja mau kasi dospem ps5 tapi dangkita nda cukup dana,lezzsugar,2020-06-19 10:03:06+00:00
Parah tepian Teratai ini ramenya. Semoga aman aman saja dangkita kaparais 🙏😇,JustQim,2020-06-10 13:15:33+00:00
"@wahyukurn11awan Brrti dia mau bantu dangkita, apa diliatnya kesusahan wkk",ReckyTwelvers,2020-05-16 05:38:17+00:00
Pabulla abasia kaparais :),mysntnnh,2020-05-14 03:24:33+00:00
"@choirnsa @mmerrysusanti @lauraglrya @Asknonym Acil favorit ku yg di Juanda 8, warung dangkita, Samarinda. Nyaman tu nasi kuning nya 👍🏻",chittapr__,2020-05-13 13:02:12+00:00
"Mun talla bakumpul saparadian wih rami sunggu😂, mambahas si Walla mambari suppan kamana-mana.",ardisaputra___,2020-05-12 14:52:58+00:00
"Jangan kaluppan dangkita lah gai, babuka danggan ancur paddas inda Salsiah 👌
@nqhz88 https://t.co/ieyBjBr7zv",OfficialOJI,2020-04-27 10:34:31+00:00
"@Wiltianza Aw...talla dangkita ku kiaw kiaw, ""kamai dangkita makan wadia pamarri si kitung"".  cada dangkita patikan bicarangku. Asik dangkita ungkang ungkang bacarammin hapi.",baduuuuuut,2020-04-25 03:20:53+00:00
"Jangan mu pusingkan genk sekarang dengan #dirumahaja  dangkita sudah dikategorikan menyelamatkan dunia , hayu beranai di rumah aja dulu lah . 
Tag temanmu yg tim rebahan 🤧

#beraukita  #anticoronavirus😷 #dirumahaja @… https://t.co/lrQfJ4wP5K",beraukita1,2020-03-29 01:21:34+00:00
@traveloka Di rumah saja dangkita,olanicitra,2020-03-19 13:38:09+00:00
"Nyari masker ampun, 8 apotik kimia farma, 1apotik k24, 2 apotik pinggir jalan. Kosong plus habis smua guysssss. Ampun dangkita!",mysntnnh,2020-03-19 06:25:56+00:00
@tehyuntxt @kimsii95 @LJEN0_ @eldestxt Menggawai lah dangkita.. aku lumpai saja ba..,Tipdnaree,2020-03-16 03:21:35+00:00
@agnotirived @dji_____ Uuuhuuyy lama tak bersua dangkita layy,OfficialOJI,2020-03-08 02:16:29+00:00
"@Orilion_ @apsicot @jawafess kangen betulll cess. kada pulang2 dangkita ini, kesian:(",satoorngaze,2020-02-19 06:21:14+00:00
@prdtans Hati2 aja ta Asal kada langsung di cakarnya dangkita memeluk2,mysntnnh,2020-02-06 14:54:10+00:00
@vodiekmilk HEH ANJIR SUDAH SEJAUH APA HUBUNGAN KALIAN BANGKEEREEER YA TUHAANNN AMUN DANGKITA DAMPA DAPAIII,shiummer,2020-01-21 02:26:31+00:00
Paham saja dangkita kn anu warna pink attu,NawirAditama,2020-01-07 01:51:18+00:00
