Tweet,Username,Datetime
"@MarahIchsan Jadi yg kemarin bawa2 konstitusi dan UUD 45 bela Palestina &amp; #TolakIsrael siapa?panik ya panik dong masa gak @PDI_Perjuangan @wayankoster2014 @ganjarpranowo,masih belum terobati rasa sakit fans sepakbola malah nambah perseteruan dngn menerima gelaran event kancut bola pantai🤮😈",Haikal88651720,2023-04-14 15:59:04+00:00
"@CNNIndonesia Kalau muka bokep sih pak @ganjarpranowo pasti terima lah gelaran event pantai apalagi peserta nya seger make bikini walaupun pesertanya dari Israel Dajjal sekalipun kalau yg seksi2 pasti diterima lah,, politikus sampah yg kemarin #TolakIsrael sekarang Mala #NerimaIsrael🤦🤦🤕🤕🤕",Haikal88651720,2023-04-14 13:48:24+00:00
waduhhh ga bola ga makann wkwk #tolakisrael,rpandark,2023-04-14 11:43:29+00:00
berarti bener nu kamari mah #tolakisrael teh cuma sebagai drama can siap. 😂😂😂😂,BlueHooligan___,2023-04-14 11:41:08+00:00
Penolakan Timnas Israel sebagai bentuk ketaatan pada konstitusi Indonesia #Palestina #TolakIsrael https://t.co/Io3mRBl6WE,grapplexs95,2023-04-13 02:07:15+00:00
Penolakan Timnas Israel sebagai bentuk ketaatan pada konstitusi Indonesia #Palestina #TolakIsrael https://t.co/ZeBpkYNMxi,Honeycoves908,2023-04-13 02:06:44+00:00
"Sanksi ringan FIFA bukti Indonesia negara penting.

#FIFAIndonesia #TolakIsrael #IndonesiaBangkit https://t.co/IkOt6BZm0E",Dorine05902449,2023-04-13 00:06:53+00:00
"Erick Thohir dinilai sudah berjuang maksimal untuk Piala Dunia U-20.

#FIFAIndonesia #TolakIsrael #IndonesiaBangkit https://t.co/Fx4RjFicGK",Dorine05902449,2023-04-13 00:06:07+00:00
"Timnas Israel gagal ke Indonesia, Senator Nuh apresiasi sikap FIFA.

#FIFAIndonesia #TolakIsrael #IndonesiaBangkit https://t.co/brRALCtfv0",Dorine05902449,2023-04-13 00:05:41+00:00
"Latar belakang penolakan terhadap Israel pada Piala Dunia U20.

#FIFAIndonesia #TolakIsrael #IndonesiaBangkit https://t.co/77RutGykv2",Dorine05902449,2023-04-13 00:05:11+00:00
"Jangan mengambinghitamkan penolakan Israel sebagai kegagalan digelarnya Piala Dunia U-20 di Indonesia.

#FIFAIndonesia #TolakIsrael #IndonesiaBangkit https://t.co/o3BYHekJL0",Dorine05902449,2023-04-13 00:04:50+00:00
"Mari jaga persatuan dan dorong reformasi PSSI.

#FIFAIndonesia #TolakIsrael #IndonesiaBangkit https://t.co/111ZVll9s3",Dorine05902449,2023-04-13 00:04:12+00:00
"Erick thohir dinilai sudah berjuang maksimal untuk Piala dunia U20
#FIFAIndonesia
#TolakIsrael
#IndonesiaBangkit https://t.co/DmOjvwuvB5",rosejadap,2023-04-12 22:36:01+00:00
"Timnas Israel gagal ke Indonesia
#FIFAIndonesia
#TolakIsrael
#IndonesiaBangkit https://t.co/YNbcqNQZrm",rosejadap,2023-04-12 22:36:00+00:00
"Sanksi ringan menunjukkan pengakuan FIFA bahwa Indonesia adalah negara penting
#FIFAIndonesia
#TolakIsrael
#IndonesiaBangkit https://t.co/Iq6Mkj6cEM",rosejadap,2023-04-12 22:36:00+00:00
"Jangan mengambing hitamkan penolakan Israel sebagai penolakan piala dunia u20
#FIFAIndonesia
#TolakIsrael
#IndonesiaBangkit https://t.co/FPqybbeq1j",rosejadap,2023-04-12 22:35:59+00:00
"Mari jaga persatuan dan dorong Reformasi Pssi
#FIFAIndonesia
#TolakIsrael
#IndonesiaBangkit https://t.co/wE4GHxLGTp",rosejadap,2023-04-12 22:35:26+00:00
"Erick thohir dinilai sudah berjuang maksimal untuk Piala dunia U20
#FIFAIndonesia
#TolakIsrael
#IndonesiaBangkit https://t.co/99rw4KJ09R",EllenWa07885214,2023-04-12 22:31:06+00:00
"Timnas Israel gagal ke Indonesia
#FIFAIndonesia
#TolakIsrael
#IndonesiaBangkit https://t.co/NexKGIFsC5",EllenWa07885214,2023-04-12 22:30:55+00:00
"Sanksi ringan menunjukkan pengakuan FIFA bahwa Indonesia adalah negara penting
#FIFAIndonesia
#TolakIsrael
#IndonesiaBangkit https://t.co/sa7df0CTaj",EllenWa07885214,2023-04-12 22:30:46+00:00
"Jangan mengambing hitamkan penolakan Israel sebagai penolakan piala dunia u20
#FIFAIndonesia
#TolakIsrael
#IndonesiaBangkit https://t.co/s9s0UzBzvK",EllenWa07885214,2023-04-12 22:30:40+00:00
"Mari jaga persatuan dan dorong Reformasi Pssi
#FIFAIndonesia
#TolakIsrael
#IndonesiaBangkit https://t.co/uJ0oH5w7Jc",EllenWa07885214,2023-04-12 22:30:32+00:00
Penolakan Timnas Israel sebagai bentuk ketaatan pada konstitusi Indonesia #Palestina #TolakIsrael https://t.co/MYVroVtej3,Its_StupidRankk,2023-04-12 18:40:23+00:00
Penolakan Timnas Israel sebagai bentuk ketaatan pada konstitusi Indonesia #Palestina #TolakIsrael https://t.co/64bfS6BEMW,karlesepretty40,2023-04-12 18:40:21+00:00
Penolakan Timnas Israel sebagai bentuk ketaatan pada konstitusi Indonesia #Palestina #TolakIsrael https://t.co/u1FslDxZ3X,ConsonantsGroup,2023-04-12 18:40:19+00:00
